,unique_tag,secondary_county_y,yr_range,year1,year2,n2_inflow,agi_inflow,n2_outflow,agi_outflow,n2_net,agi_net,arc_county,agi_inflow_capita,agi_outflow_capita
0,Cherokee County total migration-1516,"Cherokee County Total Migration-US and Foreign, GA",1516,2015,2016,17472,601078000,13379,433281000,4093,167797000,Cherokee County,34402.35805860806,32385.15584124374
28,Clayton County total migration-1516,"Clayton County Total Migration-US and Foreign, GA",1516,2015,2016,26804,319684000,23931,337726000,2873,-18042000,Clayton County,11926.72735412625,14112.490075634114
66,Cobb County total migration-1516,"Cobb County Total Migration-US and Foreign, GA",1516,2015,2016,52800,1654723000,53630,1822774000,-830,-168051000,Cobb County,31339.450757575756,33987.95450307664
209,DeKalb County total migration-1516,"DeKalb County Total Migration-US and Foreign, GA",1516,2015,2016,58656,1728524000,61977,1983743000,-3321,-255219000,DeKalb County,29468.835242771413,32007.728673540183
355,Douglas County total migration-1516,"Douglas County Total Migration-US and Foreign, GA",1516,2015,2016,11974,210906000,11226,230716000,748,-19810000,Douglas County,17613.662936362118,20551.933012649206
369,Fayette County total migration-1516,"Fayette County Total Migration-US and Foreign, GA",1516,2015,2016,9866,312196000,7227,260383000,2639,51813000,Fayette County,31643.62456922765,36029.19607029196
379,Forsyth County total migration-1516,"Forsyth County Total Migration-US and Foreign, GA",1516,2015,2016,19197,770372000,11569,521058000,7628,249314000,Forsyth County,40129.81194978382,45039.15636615092
403,Fulton County total migration-1516,"Fulton County Total Migration-US and Foreign, GA",1516,2015,2016,83422,3515855000,81458,3288646000,1964,227209000,Fulton County,42145.417276018314,40372.290014485996
595,Gwinnett County total migration-1516,"Gwinnett County Total Migration-US and Foreign, GA",1516,2015,2016,58553,1357676000,55863,1532504000,2690,-174828000,Gwinnett County,23187.129609072123,27433.25635930759
742,Henry County total migration-1516,"Henry County Total Migration-US and Foreign, GA",1516,2015,2016,17895,338303000,15316,345564000,2579,-7261000,Henry County,18904.88963397597,22562.287803604075
776,Rockdale County total migration-1516,"Rockdale County Total Migration-US and Foreign, GA",1516,2015,2016,7487,130084000,7028,135662000,459,-5578000,Rockdale County,17374.649392279953,19303.0734206033
787,Cherokee County total migration-1617,"Cherokee County Total Migration-US and Foreign, GA",1617,2016,2017,24840,847233000,18448,627276000,6392,219957000,Cherokee County,34107.608695652176,34002.385082393754
