,y1_countyname,y1_state,y2_countyname,y2_state,n2_inflow,agi_perThou_inflow,agi_inflow,yr_range,year1,year2,mig_direction1,unique_tag,secondary_county
17501,Cherokee County Total Migration-US and Foreign,GA,Cherokee County,GA,17472,601078,601078000,1516,2015,2016,inflow,Cherokee County total migration-1516,"Cherokee County Total Migration-US and Foreign, GA"
17507,Cobb County,GA,Cherokee County,GA,4700,171360,171360000,1516,2015,2016,inflow,Cherokee County-Cobb County-GA-1516,"Cobb County, GA"
17508,Fulton County,GA,Cherokee County,GA,2265,97119,97119000,1516,2015,2016,inflow,Cherokee County-Fulton County-GA-1516,"Fulton County, GA"
17509,Gwinnett County,GA,Cherokee County,GA,658,19359,19359000,1516,2015,2016,inflow,Cherokee County-Gwinnett County-GA-1516,"Gwinnett County, GA"
17510,Forsyth County,GA,Cherokee County,GA,643,30139,30139000,1516,2015,2016,inflow,Cherokee County-Forsyth County-GA-1516,"Forsyth County, GA"
17511,DeKalb County,GA,Cherokee County,GA,407,14257,14257000,1516,2015,2016,inflow,Cherokee County-DeKalb County-GA-1516,"DeKalb County, GA"
17512,Bartow County,GA,Cherokee County,GA,461,8917,8917000,1516,2015,2016,inflow,Cherokee County-Bartow County-GA-1516,"Bartow County, GA"
17513,Pickens County,GA,Cherokee County,GA,413,8440,8440000,1516,2015,2016,inflow,Cherokee County-Pickens County-GA-1516,"Pickens County, GA"
17514,Paulding County,GA,Cherokee County,GA,429,10901,10901000,1516,2015,2016,inflow,Cherokee County-Paulding County-GA-1516,"Paulding County, GA"
17515,Gilmer County,GA,Cherokee County,GA,127,3133,3133000,1516,2015,2016,inflow,Cherokee County-Gilmer County-GA-1516,"Gilmer County, GA"
17516,Douglas County,GA,Cherokee County,GA,143,3702,3702000,1516,2015,2016,inflow,Cherokee County-Douglas County-GA-1516,"Douglas County, GA"
17517,Broward County,FL,Cherokee County,GA,106,2817,2817000,1516,2015,2016,inflow,Cherokee County-Broward County-FL-1516,"Broward County, FL"
17518,Los Angeles County,CA,Cherokee County,GA,86,2411,2411000,1516,2015,2016,inflow,Cherokee County-Los Angeles County-CA-1516,"Los Angeles County, CA"
17519,Henry County,GA,Cherokee County,GA,85,2568,2568000,1516,2015,2016,inflow,Cherokee County-Henry County-GA-1516,"Henry County, GA"
17520,Palm Beach County,FL,Cherokee County,GA,61,1745,1745000,1516,2015,2016,inflow,Cherokee County-Palm Beach County-FL-1516,"Palm Beach County, FL"
17521,Miami-Dade County,FL,Cherokee County,GA,69,2470,2470000,1516,2015,2016,inflow,Cherokee County-Miami-Dade County-FL-1516,"Miami-Dade County, FL"
17522,Hall County,GA,Cherokee County,GA,55,1630,1630000,1516,2015,2016,inflow,Cherokee County-Hall County-GA-1516,"Hall County, GA"
17523,Hillsborough County,FL,Cherokee County,GA,67,2873,2873000,1516,2015,2016,inflow,Cherokee County-Hillsborough County-FL-1516,"Hillsborough County, FL"
17524,Gordon County,GA,Cherokee County,GA,58,683,683000,1516,2015,2016,inflow,Cherokee County-Gordon County-GA-1516,"Gordon County, GA"
17525,Chatham County,GA,Cherokee County,GA,69,2039,2039000,1516,2015,2016,inflow,Cherokee County-Chatham County-GA-1516,"Chatham County, GA"
17526,Floyd County,GA,Cherokee County,GA,56,1340,1340000,1516,2015,2016,inflow,Cherokee County-Floyd County-GA-1516,"Floyd County, GA"
17527,Travis County,TX,Cherokee County,GA,54,1896,1896000,1516,2015,2016,inflow,Cherokee County-Travis County-TX-1516,"Travis County, TX"
