,y1_countyname,y1_state,y2_countyname,y2_state,n2_outflow,agi_perThou_outflow,agi_outflow,yr_range,year1,year2,mig_direction2,unique_tag,secondary_county
16384,Cherokee County,GA,Cherokee County Total Migration-US and Foreign,GA,13379,433281,433281000,1516,2015,2016,outflow,Cherokee County total migration-1516,"Cherokee County Total Migration-US and Foreign, GA"
16390,Cherokee County,GA,Cobb County,GA,3129,88588,88588000,1516,2015,2016,outflow,Cherokee County-Cobb County-GA-1516,"Cobb County, GA"
16391,Cherokee County,GA,Fulton County,GA,1216,57169,57169000,1516,2015,2016,outflow,Cherokee County-Fulton County-GA-1516,"Fulton County, GA"
16392,Cherokee County,GA,Bartow County,GA,709,15448,15448000,1516,2015,2016,outflow,Cherokee County-Bartow County-GA-1516,"Bartow County, GA"
16393,Cherokee County,GA,Pickens County,GA,683,14695,14695000,1516,2015,2016,outflow,Cherokee County-Pickens County-GA-1516,"Pickens County, GA"
16394,Cherokee County,GA,Gwinnett County,GA,401,10005,10005000,1516,2015,2016,outflow,Cherokee County-Gwinnett County-GA-1516,"Gwinnett County, GA"
16395,Cherokee County,GA,Forsyth County,GA,462,25906,25906000,1516,2015,2016,outflow,Cherokee County-Forsyth County-GA-1516,"Forsyth County, GA"
16396,Cherokee County,GA,Paulding County,GA,443,11085,11085000,1516,2015,2016,outflow,Cherokee County-Paulding County-GA-1516,"Paulding County, GA"
16397,Cherokee County,GA,DeKalb County,GA,263,9434,9434000,1516,2015,2016,outflow,Cherokee County-DeKalb County-GA-1516,"DeKalb County, GA"
16398,Cherokee County,GA,Hall County,GA,118,3781,3781000,1516,2015,2016,outflow,Cherokee County-Hall County-GA-1516,"Hall County, GA"
16399,Cherokee County,GA,Gilmer County,GA,107,2916,2916000,1516,2015,2016,outflow,Cherokee County-Gilmer County-GA-1516,"Gilmer County, GA"
16400,Cherokee County,GA,Gordon County,GA,85,1708,1708000,1516,2015,2016,outflow,Cherokee County-Gordon County-GA-1516,"Gordon County, GA"
16401,Cherokee County,GA,Dawson County,GA,91,2448,2448000,1516,2015,2016,outflow,Cherokee County-Dawson County-GA-1516,"Dawson County, GA"
16402,Cherokee County,GA,Floyd County,GA,94,3626,3626000,1516,2015,2016,outflow,Cherokee County-Floyd County-GA-1516,"Floyd County, GA"
16403,Cherokee County,GA,Hillsborough County,FL,78,1784,1784000,1516,2015,2016,outflow,Cherokee County-Hillsborough County-FL-1516,"Hillsborough County, FL"
16404,Cherokee County,GA,Douglas County,GA,76,1529,1529000,1516,2015,2016,outflow,Cherokee County-Douglas County-GA-1516,"Douglas County, GA"
16405,Cherokee County,GA,Duval County,FL,63,1832,1832000,1516,2015,2016,outflow,Cherokee County-Duval County-FL-1516,"Duval County, FL"
16406,Cherokee County,GA,Broward County,FL,45,2402,2402000,1516,2015,2016,outflow,Cherokee County-Broward County-FL-1516,"Broward County, FL"
16407,Cherokee County,GA,Harris County,TX,59,1408,1408000,1516,2015,2016,outflow,Cherokee County-Harris County-TX-1516,"Harris County, TX"
16408,Cherokee County,GA,Orange County,FL,53,2065,2065000,1516,2015,2016,outflow,Cherokee County-Orange County-FL-1516,"Orange County, FL"
