,unique_tag,secondary_county_y,yr_range,year1,year2,n2_inflow,agi_inflow,n2_outflow,agi_outflow,n2_net,agi_net,arc_county,unique_tag2
1,Cherokee County-Cobb County-GA-1516,"Cobb County, GA",1516,2015,2016,4700,171360000,3129,88588000,1571,82772000,Cherokee County,Cherokee County-Cobb County-GA
2,Cherokee County-Fulton County-GA-1516,"Fulton County, GA",1516,2015,2016,2265,97119000,1216,57169000,1049,39950000,Cherokee County,Cherokee County-Fulton County-GA
3,Cherokee County-Gwinnett County-GA-1516,"Gwinnett County, GA",1516,2015,2016,658,19359000,401,10005000,257,9354000,Cherokee County,Cherokee County-Gwinnett County-GA
4,Cherokee County-Forsyth County-GA-1516,"Forsyth County, GA",1516,2015,2016,643,30139000,462,25906000,181,4233000,Cherokee County,Cherokee County-Forsyth County-GA
5,Cherokee County-DeKalb County-GA-1516,"DeKalb County, GA",1516,2015,2016,407,14257000,263,9434000,144,4823000,Cherokee County,Cherokee County-DeKalb County-GA
6,Cherokee County-Bartow County-GA-1516,"Bartow County, GA",1516,2015,2016,461,8917000,709,15448000,-248,-6531000,Cherokee County,Cherokee County-Bartow County-GA
7,Cherokee County-Pickens County-GA-1516,"Pickens County, GA",1516,2015,2016,413,8440000,683,14695000,-270,-6255000,Cherokee County,Cherokee County-Pickens County-GA
8,Cherokee County-Paulding County-GA-1516,"Paulding County, GA",1516,2015,2016,429,10901000,443,11085000,-14,-184000,Cherokee County,Cherokee County-Paulding County-GA
9,Cherokee County-Gilmer County-GA-1516,"Gilmer County, GA",1516,2015,2016,127,3133000,107,2916000,20,217000,Cherokee County,Cherokee County-Gilmer County-GA
10,Cherokee County-Douglas County-GA-1516,"Douglas County, GA",1516,2015,2016,143,3702000,76,1529000,67,2173000,Cherokee County,Cherokee County-Douglas County-GA
11,Cherokee County-Broward County-FL-1516,"Broward County, FL",1516,2015,2016,106,2817000,45,2402000,61,415000,Cherokee County,Cherokee County-Broward County-FL
12,Cherokee County-Henry County-GA-1516,"Henry County, GA",1516,2015,2016,85,2568000,59,1253000,26,1315000,Cherokee County,Cherokee County-Henry County-GA
13,Cherokee County-Palm Beach County-FL-1516,"Palm Beach County, FL",1516,2015,2016,61,1745000,36,1322000,25,423000,Cherokee County,Cherokee County-Palm Beach County-FL
14,Cherokee County-Hall County-GA-1516,"Hall County, GA",1516,2015,2016,55,1630000,118,3781000,-63,-2151000,Cherokee County,Cherokee County-Hall County-GA
15,Cherokee County-Hillsborough County-FL-1516,"Hillsborough County, FL",1516,2015,2016,67,2873000,78,1784000,-11,1089000,Cherokee County,Cherokee County-Hillsborough County-FL
16,Cherokee County-Gordon County-GA-1516,"Gordon County, GA",1516,2015,2016,58,683000,85,1708000,-27,-1025000,Cherokee County,Cherokee County-Gordon County-GA
17,Cherokee County-Chatham County-GA-1516,"Chatham County, GA",1516,2015,2016,69,2039000,31,708000,38,1331000,Cherokee County,Cherokee County-Chatham County-GA
18,Cherokee County-Floyd County-GA-1516,"Floyd County, GA",1516,2015,2016,56,1340000,94,3626000,-38,-2286000,Cherokee County,Cherokee County-Floyd County-GA
19,Cherokee County-Orange County-FL-1516,"Orange County, FL",1516,2015,2016,62,1171000,53,2065000,9,-894000,Cherokee County,Cherokee County-Orange County-FL
20,Cherokee County-Pinellas County-FL-1516,"Pinellas County, FL",1516,2015,2016,54,1600000,54,2216000,0,-616000,Cherokee County,Cherokee County-Pinellas County-FL
21,Cherokee County-Dawson County-GA-1516,"Dawson County, GA",1516,2015,2016,65,1236000,91,2448000,-26,-1212000,Cherokee County,Cherokee County-Dawson County-GA
